Time,precipitation,Manual Daily Maximum Air Temperature(Avg),Manual Daily Minimum Air Temperature(Avg)
12/01/1987 00:00:00,17.4,13.324,2.832
01/01/1988 00:00:00,0,12.687,1.419
02/01/1988 00:00:00,24.6,13.965,3.286
03/01/1988 00:00:00,92.8,15.787,4.78
04/01/1988 00:00:00,23.9,19.893,9.693
05/01/1988 00:00:00,102.9,20.564,11.777
06/01/1988 00:00:00,222.3,21.006,13.41
07/01/1988 00:00:00,317.3,20.853,14.586
08/01/1988 00:00:00,288.5,20.938,14.399
09/01/1988 00:00:00,127.2,21.666,13.59
10/01/1988 00:00:00,13.1,20.38,11.158
11/01/1988 00:00:00,5,16.64,5.189
12/01/1988 00:00:00,126.9,12.956,2.903
01/01/1989 00:00:00,78.4,10.1,0.27
02/01/1989 00:00:00,15.3,12.545,2.807
03/01/1989 00:00:00,22.7,14.066,3.432
04/01/1989 00:00:00,0,19.204,8.513
05/01/1989 00:00:00,248.4,21.52,12.051
06/01/1989 00:00:00,157,21.331,13.11
07/01/1989 00:00:00,334.3,21.14,14
08/01/1989 00:00:00,110.3,21.134,13.386
09/01/1989 00:00:00,154.8,20.192,12.856
10/01/1989 00:00:00,3.3,20.98,9.845
11/01/1989 00:00:00,18.4,14.962,4.233
12/01/1989 00:00:00,0,13.438,1.793
01/01/1990 00:00:00,0,13.703,3.248
02/01/1990 00:00:00,63.4,11.045,2.417
03/01/1990 00:00:00,93.3,13.596,2.861
04/01/1990 00:00:00,92.2,18.39,7.896
05/01/1990 00:00:00,124.2,19.706,10.841
06/01/1990 00:00:00,153.8,21.867,14.016
07/01/1990 00:00:00,411.8,21.219,13.97
08/01/1990 00:00:00,324.7,21.907,13.738
09/01/1990 00:00:00,170.3,21.296,12.953
10/01/1990 00:00:00,18.2,19.62,8.37
11/01/1990 00:00:00,0,17.908,5.603
12/01/1990 00:00:00,2.6,14.133,2.44
01/01/1991 00:00:00,23,11.047,0.027
02/01/1991 00:00:00,16,14.5,3.267
03/01/1991 00:00:00,70.4,17.129,5.27
04/01/1991 00:00:00,25.2,19.324,8.629
05/01/1991 00:00:00,66.2,20.8,11.6
06/01/1991 00:00:00,185.2,20.432,13.165
07/01/1991 00:00:00,169.4,22,14.482
08/01/1991 00:00:00,306.2,21.108,14.103
09/01/1991 00:00:00,121.5,20.539,12.72
10/01/1991 00:00:00,0,20.659,8.877
11/01/1991 00:00:00,0,15.781,3.126
12/01/1991 00:00:00,33.4,12.769,1.664
01/01/1992 00:00:00,13.8,10.606,0.303
02/01/1992 00:00:00,8.3,11.193,0.986
03/01/1992 00:00:00,0,18.158,6.487
04/01/1992 00:00:00,49.3,21.993,10.641
05/01/1992 00:00:00,151.9,19.37,10.032
06/01/1992 00:00:00,145.1,22.218,12.873
07/01/1992 00:00:00,240,20.993,13.232
08/01/1992 00:00:00,174.1,21.351,13.56
09/01/1992 00:00:00,110.5,21.803,12.296
10/01/1992 00:00:00,62.8,18.092,9.248
11/01/1992 00:00:00,26.4,16.22,4.546
12/01/1992 00:00:00,1.2,12.716,1.513
01/01/1993 00:00:00,12.9,11.277,0.744
02/01/1993 00:00:00,27.8,13.15,
03/01/1993 00:00:00,59.1,13.864,
04/01/1993 00:00:00,111.8,16.89,8.916
05/01/1993 00:00:00,210.5,20.06,10.653
06/01/1993 00:00:00,243.3,21.259,13.263
07/01/1993 00:00:00,675.1,21.703,14.929
08/01/1993 00:00:00,458.3,20.729,15.116
09/01/1993 00:00:00,137.9,20.816,13.316
10/01/1993 00:00:00,0,20.367,9.948
11/01/1993 00:00:00,0,17.09,5.28
12/01/1993 00:00:00,0.1,14.135,2.122
01/01/1994 00:00:00,77.9,13.517,1.466
02/01/1994 00:00:00,28.6,13.21,1.646
03/01/1994 00:00:00,34.1,17.033,7.106
04/01/1994 00:00:00,28.5,20.196,9.556
05/01/1994 00:00:00,153.5,21.458,12.789
06/01/1994 00:00:00,198.6,22.168,14.034
07/01/1994 00:00:00,128.3,22.219,15.574
08/01/1994 00:00:00,255.8,22.341,17.116
09/01/1994 00:00:00,269.6,22.599,16.725
10/01/1994 00:00:00,0,21.28,11.67
11/01/1994 00:00:00,1.3,18.083,4.89
12/01/1994 00:00:00,0,14.216,1.458
01/01/1995 00:00:00,3.4,10.958,-1.452
02/01/1995 00:00:00,42.2,12.084,1.648
03/01/1995 00:00:00,61.1,16.473,7.566
04/01/1995 00:00:00,5.4,22.142,13.735
05/01/1995 00:00:00,125.1,22.774,14.31
06/01/1995 00:00:00,599.3,22.343,14.313
07/01/1995 00:00:00,286,22.322,14.093
08/01/1995 00:00:00,256,21.835,14.338
09/01/1995 00:00:00,151.8,21.143,14.44
10/01/1995 00:00:00,0,21.461,5.828
11/01/1995 00:00:00,153.4,19.576,3.873
12/01/1995 00:00:00,0,13.919,1.864
01/01/1996 00:00:00,64.4,12.22,0.679
02/01/1996 00:00:00,39.2,14.08,1.978
03/01/1996 00:00:00,0,17.603,7.509
04/01/1996 00:00:00,2.3,20.456,8.81
05/01/1996 00:00:00,65.7,22.493,11.619
06/01/1996 00:00:00,365.3,22.72,11.786
07/01/1996 00:00:00,362.8,22.538,13.3
08/01/1996 00:00:00,237,22.545,13.899
09/01/1996 00:00:00,129.7,21.99,12.386
10/01/1996 00:00:00,31.6,20.303,10.267
11/01/1996 00:00:00,0,19.358,6.676
12/01/1996 00:00:00,0,16.196,-1.088
01/01/1997 00:00:00,22.8,12.966,-2.684
02/01/1997 00:00:00,2,10.633,-1.882
03/01/1997 00:00:00,17.8,19.586,5.4
04/01/1997 00:00:00,149,18.009,6.477
05/01/1997 00:00:00,80,25.094,11.272
06/01/1997 00:00:00,220.4,22.82,11.775
07/01/1997 00:00:00,355.9,22.02,12.27
08/01/1997 00:00:00,379.4,23.906,12.6
09/01/1997 00:00:00,30.9,23.963,11.86
10/01/1997 00:00:00,39.5,23.693,10.096
11/01/1997 00:00:00,25,19.356,5.216
12/01/1997 00:00:00,150.7,14.316,4.893
01/01/1998 00:00:00,0,12.777,3.093
02/01/1998 00:00:00,30,14.381,4.557
03/01/1998 00:00:00,139.8,17.57,8.142
04/01/1998 00:00:00,27.6,21.743,10.74
05/01/1998 00:00:00,117.2,24.257,15.871
06/01/1998 00:00:00,196.2,22.606,13.481
07/01/1998 00:00:00,595.8,22.329,14.387
08/01/1998 00:00:00,415.7,22.766,14.868
09/01/1998 00:00:00,70.6,27.071,17.014
10/01/1998 00:00:00,0,27.57,17.717
11/01/1998 00:00:00,0,,
12/01/1998 00:00:00,0,,
01/01/1999 00:00:00,0,16.9,4.093
02/01/1999 00:00:00,0,20.935,7.014
03/01/1999 00:00:00,1.3,22.232,7.603
04/01/1999 00:00:00,0,25.625,9.27
05/01/1999 00:00:00,126.8,25.209,8.09
06/01/1999 00:00:00,508.4,23.9,10.506
07/01/1999 00:00:00,724.3,22.11,12.575
08/01/1999 00:00:00,387.8,21.568,10.819
09/01/1999 00:00:00,100.7,21.76,9.766
10/01/1999 00:00:00,182.9,20.817,6.823
11/01/1999 00:00:00,0,18.146,2.29
12/01/1999 00:00:00,0,14.996,-1.189
01/01/2000 00:00:00,1.1,12.046,-0.654
02/01/2000 00:00:00,11.7,10.83,-0.067
03/01/2000 00:00:00,13.5,15.719,4.838
04/01/2000 00:00:00,32.6,20.382,10.273
05/01/2000 00:00:00,254.6,21.259,12.929
06/01/2000 00:00:00,267,21.493,14.566
07/01/2000 00:00:00,219.8,22.016,14.967
08/01/2000 00:00:00,187.1,22.361,14.654
09/01/2000 00:00:00,510.8,20.95,12.926
10/01/2000 00:00:00,0,21.587,10.103
11/01/2000 00:00:00,0,17.85,9.366
12/01/2000 00:00:00,0.2,14.332,3.558
01/01/2001 00:00:00,9.3,13.716,-0.109
02/01/2001 00:00:00,15.5,15.903,2.48
03/01/2001 00:00:00,18.1,17.929,5.541
04/01/2001 00:00:00,57.3,20.66,9.196
05/01/2001 00:00:00,122.3,20.516,10.683
06/01/2001 00:00:00,246.3,22.546,13.936
07/01/2001 00:00:00,366.4,23.2,15.31
08/01/2001 00:00:00,321.3,21.339,12.973
09/01/2001 00:00:00,174.2,21.522,14
10/01/2001 00:00:00,34.4,21.811,11.012
11/01/2001 00:00:00,0,18.099,5.965
12/01/2001 00:00:00,0,14.924,2.345
01/01/2002 00:00:00,45.6,12.741,1.596
02/01/2002 00:00:00,40.3,14.525,3.178
03/01/2002 00:00:00,16.8,17.223,6.845
04/01/2002 00:00:00,95.8,18.523,9.25
05/01/2002 00:00:00,187.2,19.876,12.112
06/01/2002 00:00:00,138.1,21.803,14.213
07/01/2002 00:00:00,877.4,20.709,14.954
08/01/2002 00:00:00,373.6,22.903,14.596
09/01/2002 00:00:00,151.2,21.05,12.889
10/01/2002 00:00:00,14.3,20.37,8.774
11/01/2002 00:00:00,0,19.406,6.103
12/01/2002 00:00:00,0,14.748,2.206
01/01/2003 00:00:00,23.3,13.393,1.341
02/01/2003 00:00:00,118,13.353,1.307
03/01/2003 00:00:00,49.9,16.816,6.096
04/01/2003 00:00:00,59.6,19.526,9.1
05/01/2003 00:00:00,61.9,21.006,10.835
06/01/2003 00:00:00,161.8,21.31,13.763
07/01/2003 00:00:00,501.7,21.163,15
08/01/2003 00:00:00,332.5,22.59,15.206
09/01/2003 00:00:00,142.3,21.856,15.45
10/01/2003 00:00:00,0,21.706,13.387
11/01/2003 00:00:00,0,18.703,
12/01/2003 00:00:00,33.3,14.009,
01/01/2004 00:00:00,32,14.083,
02/01/2004 00:00:00,0,14.717,
03/01/2004 00:00:00,0,19.948,11.188
04/01/2004 00:00:00,122.6,20.4,
05/01/2004 00:00:00,179.7,21.574,
06/01/2004 00:00:00,285,21.096,
07/01/2004 00:00:00,498,21.725,
08/01/2004 00:00:00,127.6,23.412,
09/01/2004 00:00:00,126.5,21.99,
10/01/2004 00:00:00,26.2,,
11/01/2004 00:00:00,8,,
12/01/2004 00:00:00,0,,
01/01/2005 00:00:00,73.4,,
02/01/2005 00:00:00,34.4,,
03/01/2005 00:00:00,68.2,17.816,5.305
04/01/2005 00:00:00,104.7,21.113,8.316
05/01/2005 00:00:00,104.8,22.116,13.835
06/01/2005 00:00:00,170.4,22.606,13.97
07/01/2005 00:00:00,247.5,22.129,15.919
08/01/2005 00:00:00,366,22.651,14.8
09/01/2005 00:00:00,12.1,24.606,14.52
10/01/2005 00:00:00,104.7,20.322,10.37
11/01/2005 00:00:00,0,18.476,4.446
12/01/2005 00:00:00,0,17.493,3.041
01/01/2006 00:00:00,0,15.977,2.874
02/01/2006 00:00:00,0,17.957,5.11
03/01/2006 00:00:00,2,18.296,6.209
04/01/2006 00:00:00,79.5,19.98,9.233
05/01/2006 00:00:00,98.5,21.309,12.106
06/01/2006 00:00:00,254.3,21.643,13.676
07/01/2006 00:00:00,184.3,23.332,15.112
08/01/2006 00:00:00,289.6,24.277,14.38
09/01/2006 00:00:00,324.3,23.873,13.75
10/01/2006 00:00:00,0,22.025,10.432
11/01/2006 00:00:00,0,18.66,5.62
12/01/2006 00:00:00,34.2,16.232,2.67
01/01/2007 00:00:00,0,15.274,1.57
02/01/2007 00:00:00,105.1,15.789,3.282
03/01/2007 00:00:00,38,17.644,5.637
04/01/2007 00:00:00,78.9,21.066,10.183
05/01/2007 00:00:00,164.3,21.935,12.206
06/01/2007 00:00:00,227.1,,
07/01/2007 00:00:00,224,22.312,15.875
08/01/2007 00:00:00,368,22.196,14.354
09/01/2007 00:00:00,323.6,21.294,14.111
10/01/2007 00:00:00,19,,
11/01/2007 00:00:00,0,,
12/01/2007 00:00:00,0,,
01/01/2008 00:00:00,8,,
02/01/2008 00:00:00,5,,
03/01/2008 00:00:00,29.5,,
04/01/2008 00:00:00,56.3,,
05/01/2008 00:00:00,83.6,,
06/01/2008 00:00:00,206.1,,15.5
07/01/2008 00:00:00,217.1,,16.548
08/01/2008 00:00:00,251.8,25.799,16.345
09/01/2008 00:00:00,85.6,21.936,16.216
10/01/2008 00:00:00,0,22.645,12.487
11/01/2008 00:00:00,0,19.879,9.836
12/01/2008 00:00:00,0,15.677,7.606
01/01/2009 00:00:00,0,14.377,5.377
02/01/2009 00:00:00,0,17.482,4.996
03/01/2009 00:00:00,65.5,17.806,6.961
04/01/2009 00:00:00,153.1,22.11,10.696
05/01/2009 00:00:00,172,22.2,12.396
06/01/2009 00:00:00,69.3,23.763,14.896
07/01/2009 00:00:00,290.2,24.306,17.232
08/01/2009 00:00:00,313,23.451,16.409
09/01/2009 00:00:00,89.6,24.833,16.746
10/01/2009 00:00:00,0,22.548,13.145
11/01/2009 00:00:00,0,18.93,6.986
12/01/2009 00:00:00,0,14.631,3.165
01/01/2010 00:00:00,13,20.49,5.98
02/01/2010 00:00:00,29.9,16.114,3.496
03/01/2010 00:00:00,0,22.474,13.093
04/01/2010 00:00:00,58.2,21.52,8.596
05/01/2010 00:00:00,112.6,22.322,15.696
06/01/2010 00:00:00,151.5,21.813,14.803
07/01/2010 00:00:00,285.9,21.238,11.416
08/01/2010 00:00:00,243.4,18.483,6.739
09/01/2010 00:00:00,299.8,15.951,1.809
10/01/2010 00:00:00,38,,
11/01/2010 00:00:00,0,,
12/01/2010 00:00:00,0,,
01/01/2011 00:00:00,13,,
02/01/2011 00:00:00,55.5,,
03/01/2011 00:00:00,0,,
04/01/2011 00:00:00,96.5,,
05/01/2011 00:00:00,91.3,,
06/01/2011 00:00:00,391.7,,
07/01/2011 00:00:00,422.4,,
08/01/2011 00:00:00,250.5,,
09/01/2011 00:00:00,158.8,,
10/01/2011 00:00:00,4.5,,
11/01/2011 00:00:00,1.5,,
12/01/2011 00:00:00,0,,
01/01/2012 00:00:00,27.9,,
02/01/2012 00:00:00,48.4,,
03/01/2012 00:00:00,0,,
04/01/2012 00:00:00,170.5,,
05/01/2012 00:00:00,51.3,,
06/01/2012 00:00:00,200.3,,
07/01/2012 00:00:00,380,,
08/01/2012 00:00:00,0,,
09/01/2012 00:00:00,255.1,,
10/01/2012 00:00:00,0,,
11/01/2012 00:00:00,0,,
12/01/2012 00:00:00,0,,
01/01/2013 00:00:00,17.5,,
02/01/2013 00:00:00,57.1,,
03/01/2013 00:00:00,9,,
04/01/2013 00:00:00,44.6,,
05/01/2013 00:00:00,91.7,,
06/01/2013 00:00:00,256.5,,
07/01/2013 00:00:00,337.5,,
08/01/2013 00:00:00,239.9,,
09/01/2013 00:00:00,46.6,,
10/01/2013 00:00:00,134.9,,
11/01/2013 00:00:00,0,,
12/01/2013 00:00:00,0,,
01/01/2014 00:00:00,10.5,,
02/01/2014 00:00:00,18.5,,
03/01/2014 00:00:00,80.5,,
04/01/2014 00:00:00,7,,
,,,
06/01/2014 00:00:00,23,,
07/01/2014 00:00:00,298.7,,
08/01/2014 00:00:00,291.1,,
,,,
,,,
11/01/2014 00:00:00,0,,
12/01/2014 00:00:00,22.1,,
01/01/2015 00:00:00,18,,
02/01/2015 00:00:00,32.4,,
03/01/2015 00:00:00,89.5,,
04/01/2015 00:00:00,78.5,,
05/01/2015 00:00:00,63.9,,
06/01/2015 00:00:00,119.6,,
07/01/2015 00:00:00,243.8,,
08/01/2015 00:00:00,161.4,,
09/01/2015 00:00:00,70.4,,
10/01/2015 00:00:00,18,,
11/01/2015 00:00:00,0,,
12/01/2015 00:00:00,0,,
01/01/2016 00:00:00,0,,
02/01/2016 00:00:00,3,,
03/01/2016 00:00:00,0,,
04/01/2016 00:00:00,0,,
05/01/2016 00:00:00,206.7,,
06/01/2016 00:00:00,103.5,,
07/01/2016 00:00:00,443.6,,
08/01/2016 00:00:00,87.7,,
09/01/2016 00:00:00,157.9,20.46,13
10/01/2016 00:00:00,9.6,21.593,10.509
11/01/2016 00:00:00,0,18.556,5.506
12/01/2016 00:00:00,0,,
01/01/2017 00:00:00,43,12.709,2.061
02/01/2017 00:00:00,0,16.342,4.403
03/01/2017 00:00:00,51.5,15.438,4.967
04/01/2017 00:00:00,69.5,20.936,9.653
05/01/2017 00:00:00,130.4,20.799,11.012
06/01/2017 00:00:00,146.1,22.603,13.636
07/01/2017 00:00:00,247.4,22.287,14.661
08/01/2017 00:00:00,272.6,22.577,14.664
09/01/2017 00:00:00,149.6,23.029,13.496
10/01/2017 00:00:00,13,21.229,10.461
11/01/2017 00:00:00,13,17.383,5.3
12/01/2017 00:00:00,0,16.203,4.18
01/01/2018 00:00:00,6.7,12.912,0.932
02/01/2018 00:00:00,0.1,15.442,3.06
03/01/2018 00:00:00,12.5,18.038,6.47
04/01/2018 00:00:00,97.9,19.11,8.546
05/01/2018 00:00:00,83.6,20.196,10.716
06/01/2018 00:00:00,192.1,22.143,13.823
07/01/2018 00:00:00,407.7,22.1,14.619
08/01/2018 00:00:00,225.6,22.393,14.487
09/01/2018 00:00:00,66.1,22.48,12.913
10/01/2018 00:00:00,0,18.935,7.096
11/01/2018 00:00:00,0,16.86,5.296
12/01/2018 00:00:00,0,12.809,0.606
01/01/2019 00:00:00,55.9,12.7,0.145
02/01/2019 00:00:00,86.6,12.842,2.375
03/01/2019 00:00:00,93.1,15.877,4.219
04/01/2019 00:00:00,88.5,18.386,8.483
05/01/2019 00:00:00,113,22.061,10.364
06/01/2019 00:00:00,180.4,22.15,12.133
07/01/2019 00:00:00,602.2,21.219,13.216
08/01/2019 00:00:00,106.2,23.27,12.645
09/01/2019 00:00:00,259.7,20.68,12.07
10/01/2019 00:00:00,5,20.1,8.232
11/01/2019 00:00:00,0,18.516,6.193
12/01/2019 00:00:00,42.5,13.261,0.451
01/01/2020 00:00:00,132.2,10.47,-0.571
02/01/2020 00:00:00,34.2,12.751,-0.032
03/01/2020 00:00:00,32,16.583,4.29
04/01/2020 00:00:00,78.1,18.636,7.866
05/01/2020 00:00:00,105.7,20.2,10.516
06/01/2020 00:00:00,345.5,21.243,14.163
07/01/2020 00:00:00,578,21.674,15.019
08/01/2020 00:00:00,176.2,23.458,15.641
09/01/2020 00:00:00,193.1,22.34,14.393
10/01/2020 00:00:00,0,22.419,10.37
11/01/2020 00:00:00,0,17.936,5.316
12/01/2020 00:00:00,0,15.29,2.732
01/01/2021 00:00:00,0,14.77,2.977
02/01/2021 00:00:00,1.5,15.107,3.382
03/01/2021 00:00:00,3.5,17.88,7.106
04/01/2021 00:00:00,128.8,20.593,8.53
05/01/2021 00:00:00,224.3,19.422,11.458
06/01/2021 00:00:00,251.9,21.37,14.4
07/01/2021 00:00:00,446.3,21.541,15.193
08/01/2021 00:00:00,226.5,21.503,15.103
09/01/2021 00:00:00,93.1,22.09,14.013
10/01/2021 00:00:00,75.7,20.619,11.183
11/01/2021 00:00:00,0,16.563,4.783
12/01/2021 00:00:00,65,13.29,2.616
01/01/2022 00:00:00,7.51,11.087,1.051
02/01/2022 00:00:00,41,11.557,0.892
03/01/2022 00:00:00,19.8,20.058,8.303
04/01/2022 00:00:00,45.1,21.933,11.21
05/01/2022 00:00:00,235.01,20.525,11.364
06/01/2022 00:00:00,294.33,21.193,14.346
07/01/2022 00:00:00,218.73,22.79,15.812
08/01/2022 00:00:00,205.04,23.277,14.951
09/01/2022 00:00:00,138.63,22.023,13.906
10/01/2022 00:00:00,132.6,20.632,9.687
11/01/2022 00:00:00,0,17.886,5.319
12/01/2022 00:00:00,0,15.354,3.083
